,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0004,4,10000,4,4,4.0,4.0,0.9025,9021,4
1,1,2,0.0005,5,10000,5,5,5.0,5.0,0.9055,9050,5
2,3,3,0.0011,11,10000,1,9,1.0,3.6666666666666665,0.9085,9074,11
3,2,4,0.002,20,10000,3,17,10.0,10.0,0.9115,9095,20
4,2,5,0.0036,36,10000,1,35,18.0,18.0,0.9145,9109,36
5,3,6,0.0055,55,10000,1,52,2.0,18.333333333333332,0.9175,9120,55
6,2,7,0.0075,75,10000,2,73,37.5,37.5,0.9205,9130,75
7,5,8,0.0107,107,10000,1,103,1.0,21.4,0.9235,9128,107
8,4,9,0.0132,132,10000,1,129,1.0,33.0,0.9265,9133,132
9,5,10,0.0172,172,10000,1,168,1.0,34.4,0.9295,9123,172
10,3,11,0.0226,226,10000,1,224,1.0,75.33333333333333,0.9325,9099,226
11,4,12,0.027,270,10000,1,267,1.0,67.5,0.9355,9085,270
12,8,13,0.0322,322,10000,1,315,1.0,40.25,0.9385,9063,322
13,6,14,0.0383,383,10000,1,374,1.5,63.833333333333336,0.9415,9032,383
14,4,15,0.0452,452,10000,1,448,1.5,113.0,0.9445,8992,452
15,5,16,0.0521,521,10000,1,512,1.0,104.2,0.9474,8951,521
16,7,17,0.0599,599,10000,1,589,1.0,85.57142857142857,0.9502,8901,599
17,10,18,0.0674,674,10000,1,629,1.5,67.4,0.953,8850,674
18,8,19,0.0756,756,10000,1,746,1.0,94.5,0.9554,8792,756
19,13,20,0.0859,859,10000,1,846,1.0,66.07692307692308,0.9578,8716,859
20,8,21,0.0972,972,10000,1,960,1.5,121.5,0.9605,8627,972
21,8,22,0.1104,1104,10000,1,1097,1.0,138.0,0.9629,8513,1104
22,13,23,0.1215,1215,10000,1,1190,1.0,93.46153846153847,0.9647,8420,1215
23,11,24,0.1333,1333,10000,1,1320,1.0,121.18181818181819,0.9665,8315,1333
24,16,25,0.1446,1446,10000,1,1430,1.0,90.375,0.9678,8198,1446
25,27,26,0.1561,1561,10000,1,1501,1.0,57.81481481481482,0.9674,8090,1561
26,33,27,0.1678,1678,10000,1,1614,1.0,50.84848484848485,0.9681,7972,1678
27,24,28,0.1824,1824,10000,1,1786,1.0,76.0,0.968,7828,1824
28,15,29,0.1938,1938,10000,1,1881,1.0,129.2,0.9682,7721,1938
29,27,30,0.2023,2023,10000,1,1948,1.0,74.92592592592592,0.9689,7625,2023
30,28,31,0.2152,2152,10000,1,2094,1.0,76.85714285714286,0.9678,7491,2152
31,29,32,0.2269,2269,10000,1,2214,1.0,78.24137931034483,0.9673,7356,2269
32,37,33,0.2388,2388,10000,1,2312,1.0,64.54054054054055,0.9655,7222,2388
33,36,34,0.2524,2524,10000,1,2396,1.0,70.11111111111111,0.964,7059,2524
34,34,35,0.2673,2673,10000,1,2586,1.0,78.61764705882354,0.9613,6889,2673
35,33,36,0.282,2820,10000,1,2777,1.0,85.45454545454545,0.9592,6687,2820
36,42,37,0.2929,2929,10000,1,2859,1.0,69.73809523809524,0.9537,6525,2929
37,55,38,0.3018,3018,10000,1,2819,2.0,54.872727272727275,0.9484,6381,3018
38,70,39,0.3123,3123,10000,1,2853,2.0,44.614285714285714,0.9429,6225,3123
39,68,40,0.3194,3194,10000,1,2899,1.0,46.970588235294116,0.9378,6086,3194
40,92,41,0.33,3300,10000,1,2849,1.0,35.869565217391305,0.931,5920,3300
41,92,42,0.3433,3433,10000,1,2961,1.0,37.31521739130435,0.925,5704,3433
42,102,43,0.3529,3529,10000,1,3040,2.0,34.59803921568628,0.9167,5537,3529
43,123,44,0.3634,3634,10000,1,3079,1.0,29.54471544715447,0.9096,5375,3634
44,128,45,0.3752,3752,10000,1,3190,1.0,29.3125,0.9039,5182,3752
45,147,46,0.3788,3788,10000,1,3167,2.0,25.768707482993197,0.8964,5059,3788
46,164,47,0.3835,3835,10000,1,3211,1.0,23.384146341463413,0.8877,4922,3835
47,185,48,0.3901,3901,10000,1,2983,2.0,21.086486486486486,0.8787,4746,3901
48,216,49,0.3932,3932,10000,1,2954,2.0,18.203703703703702,0.8677,4627,3932
49,222,50,0.3959,3959,10000,1,2978,1.0,17.833333333333332,0.8589,4505,3959
50,248,51,0.3993,3993,10000,1,3023,2.0,16.100806451612904,0.8494,4367,3993
51,257,52,0.4018,4018,10000,1,3018,2.0,15.634241245136186,0.839,4240,4018
52,299,53,0.3963,3963,10000,1,2916,1.0,13.25418060200669,0.8288,4174,3963
53,316,54,0.3967,3967,10000,1,2903,1.0,12.55379746835443,0.8167,4053,3967
54,334,55,0.3947,3947,10000,1,2847,1.0,11.817365269461078,0.805,3949,3947
55,371,56,0.3896,3896,10000,1,2329,1.0,10.501347708894878,0.7926,3864,3896
56,389,57,0.3874,3874,10000,1,2035,1.0,9.958868894601542,0.779,3753,3874
57,430,58,0.3828,3828,10000,1,1888,1.0,8.902325581395349,0.7657,3664,3828
58,438,59,0.3808,3808,10000,1,1942,1.0,8.69406392694064,0.7522,3560,3808
