,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,5,1,0.0008,8,10000,1,4,1.0,1.6,0.9015,9007,8
1,4,2,0.002,20,10000,1,17,1.0,5.0,0.9045,9025,20
2,1,3,0.003,30,10000,30,30,30.0,30.0,0.9075,9045,30
3,1,4,0.0056,56,10000,56,56,56.0,56.0,0.9105,9049,56
4,4,5,0.0086,86,10000,1,80,2.5,21.5,0.9135,9049,86
5,2,6,0.0121,121,10000,1,120,60.5,60.5,0.9165,9044,121
6,1,7,0.0154,154,10000,154,154,154.0,154.0,0.9195,9041,154
7,2,8,0.0201,201,10000,2,199,100.5,100.5,0.9225,9024,201
8,2,9,0.0246,246,10000,1,245,123.0,123.0,0.9255,9009,246
9,4,10,0.0285,285,10000,1,282,1.0,71.25,0.9285,9000,285
10,5,11,0.0329,329,10000,1,321,2.0,65.8,0.9315,8986,329
11,5,12,0.0392,392,10000,1,388,1.0,78.4,0.9345,8953,392
12,3,13,0.0474,474,10000,1,468,5.0,158.0,0.9375,8899,474
13,2,14,0.0552,552,10000,1,551,276.0,276.0,0.9403,8850,552
14,4,15,0.0642,642,10000,1,639,1.0,160.5,0.9432,8786,642
15,4,16,0.073,730,10000,1,726,1.5,182.5,0.9458,8724,730
16,3,17,0.083,830,10000,1,828,1.0,276.6666666666667,0.9484,8644,830
17,7,18,0.093,930,10000,1,918,1.0,132.85714285714286,0.9504,8562,930
18,13,19,0.1042,1042,10000,1,1027,1.0,80.15384615384616,0.9522,8472,1042
19,10,20,0.1178,1178,10000,1,1164,1.0,117.8,0.9544,8356,1178
20,11,21,0.1309,1309,10000,1,1288,1.0,119.0,0.9564,8240,1309
21,12,22,0.1416,1416,10000,1,1402,1.0,118.0,0.9579,8142,1416
22,8,23,0.1555,1555,10000,1,1548,1.0,194.375,0.9588,8011,1555
23,7,24,0.1704,1704,10000,1,1685,1.0,243.42857142857142,0.9596,7864,1704
24,17,25,0.1835,1835,10000,1,1815,1.0,107.94117647058823,0.9598,7732,1835
