,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0002,2,10000,2,2,2.0,2.0,0.9048,9046,2
1,1,2,0.0008,8,10000,8,8,8.0,8.0,0.9078,9070,8
2,1,3,0.0011,11,10000,11,11,11.0,11.0,0.9108,9097,11
3,1,4,0.0022,22,10000,22,22,22.0,22.0,0.9138,9116,22
4,2,5,0.0035,35,10000,1,34,17.5,17.5,0.9168,9133,35
5,3,6,0.0043,43,10000,1,40,2.0,14.333333333333334,0.9198,9155,43
6,3,7,0.0072,72,10000,1,69,2.0,24.0,0.9228,9156,72
7,2,8,0.0105,105,10000,8,97,52.5,52.5,0.9258,9153,105
8,3,9,0.0139,139,10000,1,137,1.0,46.333333333333336,0.9288,9149,139
9,4,10,0.0187,187,10000,1,182,2.0,46.75,0.9318,9131,187
10,3,11,0.0234,234,10000,1,230,3.0,78.0,0.9348,9114,234
11,2,12,0.0301,301,10000,1,300,150.5,150.5,0.9378,9077,301
12,2,13,0.0374,374,10000,1,373,187.0,187.0,0.9408,9033,374
13,2,14,0.0456,456,10000,1,455,228.0,228.0,0.9437,8981,456
14,3,15,0.0547,547,10000,1,544,2.0,182.33333333333334,0.9467,8920,547
15,4,16,0.0658,658,10000,1,647,5.0,164.5,0.9497,8839,658
16,3,17,0.075,750,10000,1,748,1.0,250.0,0.9527,8777,750
17,1,18,0.0845,845,10000,845,845,845.0,845.0,0.9557,8706,845
18,1,19,0.0929,929,10000,929,929,929.0,929.0,0.9581,8643,929
19,5,20,0.1007,1007,10000,1,1000,1.0,201.4,0.9602,8586,1007
20,6,21,0.1111,1111,10000,1,1103,1.5,185.16666666666666,0.9623,8503,1111
21,10,22,0.1183,1183,10000,1,1168,1.5,118.3,0.9644,8442,1183
22,8,23,0.1287,1287,10000,1,1276,1.0,160.875,0.9655,8354,1287
23,10,24,0.1364,1364,10000,1,1345,1.0,136.4,0.9671,8284,1364
24,7,25,0.1461,1461,10000,1,1445,1.0,208.71428571428572,0.9678,8188,1461
25,4,26,0.1581,1581,10000,1,1578,1.0,395.25,0.9679,8072,1581
