,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0005,5,10000,5,5,5.0,5.0,0.9057,9052,5
1,1,2,0.0014,14,10000,14,14,14.0,14.0,0.9087,9073,14
2,1,3,0.0029,29,10000,29,29,29.0,29.0,0.9117,9088,29
3,1,4,0.0047,47,10000,47,47,47.0,47.0,0.9147,9100,47
4,2,5,0.0074,74,10000,1,73,37.0,37.0,0.9177,9103,74
5,1,6,0.0109,109,10000,109,109,109.0,109.0,0.9207,9098,109
6,2,7,0.015,150,10000,4,146,75.0,75.0,0.9237,9087,150
7,2,8,0.0193,193,10000,1,192,96.5,96.5,0.9267,9074,193
8,3,9,0.0224,224,10000,1,222,1.0,74.66666666666667,0.9297,9073,224
9,2,10,0.0279,279,10000,1,278,139.5,139.5,0.9327,9048,279
10,1,11,0.0319,319,10000,319,319,319.0,319.0,0.9357,9038,319
11,1,12,0.0378,378,10000,378,378,378.0,378.0,0.9387,9008,378
12,1,13,0.0435,435,10000,435,435,435.0,435.0,0.9416,8980,435
13,2,14,0.0498,498,10000,1,497,249.0,249.0,0.9445,8945,498
14,1,15,0.0571,571,10000,571,571,571.0,571.0,0.9473,8898,571
15,2,16,0.063,630,10000,1,629,315.0,315.0,0.9499,8866,630
16,1,17,0.0683,683,10000,683,683,683.0,683.0,0.9526,8835,683
17,2,18,0.073,730,10000,3,727,365.0,365.0,0.9548,8804,730
18,3,19,0.0785,785,10000,1,783,1.0,261.6666666666667,0.9564,8768,785
19,6,20,0.0843,843,10000,1,833,1.5,140.5,0.9583,8720,843
20,7,21,0.0887,887,10000,1,874,2.0,126.71428571428571,0.9593,8694,887
21,3,22,0.0931,931,10000,1,924,6.0,310.3333333333333,0.9611,8663,931
22,3,23,0.0978,978,10000,1,976,1.0,326.0,0.9624,8629,978
23,6,24,0.1035,1035,10000,1,1023,1.0,172.5,0.9637,8585,1035
24,7,25,0.1086,1086,10000,1,1071,1.0,155.14285714285714,0.965,8539,1086
25,13,26,0.1118,1118,10000,1,1092,1.0,86.0,0.9655,8499,1118
26,16,27,0.1184,1184,10000,1,1151,1.0,74.0,0.9647,8435,1184
27,18,28,0.1251,1251,10000,1,1199,2.0,69.5,0.9649,8367,1251
28,22,29,0.1307,1307,10000,1,1231,1.5,59.40909090909091,0.9648,8306,1307
29,23,30,0.1375,1375,10000,1,1293,1.0,59.78260869565217,0.9643,8234,1375
30,20,31,0.1448,1448,10000,1,1378,1.0,72.4,0.9639,8150,1448
31,17,32,0.1518,1518,10000,1,1492,1.0,89.29411764705883,0.9628,8070,1518
32,15,33,0.1572,1572,10000,1,1506,2.0,104.8,0.9618,8005,1572
33,27,34,0.1632,1632,10000,1,1508,2.0,60.44444444444444,0.9607,7934,1632
34,22,35,0.1709,1709,10000,1,1604,1.0,77.68181818181819,0.9596,7840,1709
35,30,36,0.1813,1813,10000,1,1670,1.5,60.43333333333333,0.9579,7712,1813
36,38,37,0.1879,1879,10000,1,1659,2.0,49.44736842105263,0.9555,7633,1879
37,27,38,0.1966,1966,10000,1,1811,3.0,72.81481481481481,0.9542,7536,1966
38,27,39,0.2042,2042,10000,1,1943,1.0,75.62962962962963,0.9532,7435,2042
39,31,40,0.2154,2154,10000,1,2009,2.0,69.48387096774194,0.9507,7302,2154
40,31,41,0.2232,2232,10000,1,2091,2.0,72.0,0.9486,7198,2232
41,37,42,0.2328,2328,10000,1,2186,1.0,62.91891891891892,0.946,7062,2328
42,38,43,0.2391,2391,10000,1,2214,2.0,62.921052631578945,0.942,6957,2391
43,42,44,0.2461,2461,10000,1,2301,2.0,58.595238095238095,0.9378,6850,2461
44,43,45,0.2574,2574,10000,1,2207,2.0,59.86046511627907,0.9341,6707,2574
45,47,46,0.2693,2693,10000,1,2484,2.0,57.297872340425535,0.9311,6554,2693
46,56,47,0.2786,2786,10000,1,2652,1.0,49.75,0.9277,6418,2786
47,72,48,0.2848,2848,10000,1,2511,1.0,39.55555555555556,0.9234,6309,2848
48,73,49,0.293,2930,10000,1,2317,2.0,40.136986301369866,0.9187,6185,2930
49,85,50,0.2988,2988,10000,1,2536,2.0,35.15294117647059,0.9145,6077,2988
50,88,51,0.3042,3042,10000,1,2353,1.5,34.56818181818182,0.9095,5954,3042
51,116,52,0.307,3070,10000,1,2133,2.0,26.46551724137931,0.9026,5861,3070
52,126,53,0.3165,3165,10000,1,2288,2.0,25.11904761904762,0.8961,5700,3165
53,147,54,0.3271,3271,10000,1,2363,2.0,22.25170068027211,0.8895,5533,3271
54,163,55,0.3322,3322,10000,1,2467,1.0,20.380368098159508,0.8834,5413,3322
55,179,56,0.3371,3371,10000,1,2497,1.0,18.83240223463687,0.8765,5279,3371
56,173,57,0.3448,3448,10000,1,2633,1.0,19.930635838150287,0.868,5121,3448
57,200,58,0.3516,3516,10000,1,2512,1.0,17.58,0.8599,4991,3516
58,209,59,0.3606,3606,10000,1,2620,1.0,17.25358851674641,0.8537,4838,3606
59,221,60,0.3673,3673,10000,1,2638,1.0,16.619909502262445,0.8474,4684,3673
60,235,61,0.3754,3754,10000,1,2694,1.0,15.974468085106382,0.8387,4523,3754
61,238,62,0.3848,3848,10000,1,2811,2.0,16.168067226890756,0.8307,4354,3848
62,259,63,0.3919,3919,10000,1,2729,1.0,15.13127413127413,0.8232,4201,3919
63,274,64,0.3939,3939,10000,1,2630,2.0,14.375912408759124,0.815,4065,3939
64,290,65,0.3993,3993,10000,1,2623,2.0,13.76896551724138,0.8034,3923,3993
65,311,66,0.4043,4043,10000,1,2639,2.0,13.0,0.7946,3765,4043
66,324,67,0.4138,4138,10000,1,2718,2.0,12.771604938271604,0.7838,3567,4138
67,358,68,0.42,4200,10000,1,2748,2.0,11.731843575418994,0.7735,3406,4200
68,367,69,0.4222,4222,10000,1,2796,2.0,11.50408719346049,0.7636,3279,4222
69,375,70,0.4331,4331,10000,1,2887,2.0,11.549333333333333,0.7531,3061,4331
70,402,71,0.4421,4421,10000,1,2958,2.0,10.997512437810945,0.7422,2875,4421
71,425,72,0.451,4510,10000,1,2955,1.0,10.611764705882353,0.7326,2670,4510
72,432,73,0.456,4560,10000,1,3005,1.0,10.555555555555555,0.721,2517,4560
73,461,74,0.463,4630,10000,1,3019,2.0,10.043383947939262,0.7107,2332,4630
74,485,75,0.4668,4668,10000,1,3118,1.0,9.624742268041237,0.6992,2179,4668
75,482,76,0.4716,4716,10000,1,3162,2.0,9.784232365145229,0.6877,2024,4716
76,493,77,0.4709,4709,10000,1,3161,1.0,9.551724137931034,0.677,1910,4709
77,502,78,0.4672,4672,10000,1,3152,2.0,9.306772908366534,0.6649,1837,4672
78,502,79,0.4666,4666,10000,1,3138,2.0,9.294820717131474,0.6539,1728,4666
79,512,80,0.4567,4567,10000,1,3043,2.0,8.919921875,0.6424,1698,4567
80,522,81,0.4532,4532,10000,1,3011,1.5,8.68199233716475,0.6295,1622,4532
81,532,82,0.4489,4489,10000,1,2834,1.0,8.43796992481203,0.6184,1550,4489
82,553,83,0.4364,4364,10000,1,2625,2.0,7.891500904159132,0.6069,1506,4364
83,576,84,0.4255,4255,10000,1,2518,2.0,7.387152777777778,0.59,1474,4255
84,590,85,0.4179,4179,10000,1,2386,2.0,7.083050847457627,0.5759,1429,4179
85,615,86,0.4067,4067,10000,1,2263,1.0,6.613008130081301,0.5638,1391,4067
86,650,87,0.3932,3932,10000,1,2082,1.0,6.049230769230769,0.5488,1379,3932
87,680,88,0.3833,3833,10000,1,2036,1.0,5.636764705882353,0.5341,1337,3833
88,683,89,0.3726,3726,10000,1,1489,1.0,5.455344070278184,0.52,1293,3726
89,682,90,0.36,3600,10000,1,1425,1.0,5.278592375366569,0.5049,1274,3600
90,695,91,0.3484,3484,10000,1,1333,1.0,5.012949640287769,0.4904,1276,3484
91,678,92,0.3368,3368,10000,1,1338,1.0,4.967551622418879,0.479,1270,3368
