,Nf,Ns,percentage_on_fire,trees_on_fire,total_area,min_fire_area,max_fire_area,median_fire_area,mean_fire_area,Density Trees,Fine,On fire
0,1,1,0.0003,3,10000,3,3,3.0,3.0,0.9031,9028,3
1,3,2,0.0003,3,10000,1,1,1.0,1.0,0.9061,9058,3
2,3,3,0.0003,3,10000,1,1,1.0,1.0,0.9091,9088,3
3,7,4,0.0007,7,10000,1,1,1.0,1.0,0.9121,9114,7
4,9,5,0.0023,23,10000,1,10,1.0,2.5555555555555554,0.9151,9128,23
5,9,6,0.0058,58,10000,1,32,1.0,6.444444444444445,0.9181,9123,58
6,8,7,0.0077,77,10000,1,54,1.0,9.625,0.9211,9134,77
7,14,8,0.0105,105,10000,1,49,1.0,7.5,0.9241,9136,105
8,14,9,0.0143,143,10000,1,90,1.0,10.214285714285714,0.9271,9128,143
9,13,10,0.0192,192,10000,1,167,1.0,14.76923076923077,0.9301,9109,192
10,5,11,0.0246,246,10000,1,242,1.0,49.2,0.9331,9085,246
11,8,12,0.027,270,10000,1,263,1.0,33.75,0.9361,9091,270
12,9,13,0.032,320,10000,1,305,1.0,35.55555555555556,0.9391,9071,320
13,7,14,0.037,370,10000,1,363,1.0,52.857142857142854,0.9421,9050,370
14,5,15,0.0437,437,10000,1,433,1.0,87.4,0.945,9013,437
15,5,16,0.0514,514,10000,1,509,1.0,102.8,0.948,8963,514
16,6,17,0.0568,568,10000,1,562,1.0,94.66666666666667,0.9507,8936,568
17,3,18,0.0634,634,10000,1,632,1.0,211.33333333333334,0.9534,8894,634
18,5,19,0.0693,693,10000,1,689,1.0,138.6,0.9558,8859,693
19,6,20,0.0763,763,10000,1,757,1.0,127.16666666666667,0.9582,8814,763
20,8,21,0.0806,806,10000,1,799,1.0,100.75,0.9607,8786,806
21,7,22,0.0856,856,10000,1,846,1.0,122.28571428571429,0.9622,8752,856
22,8,23,0.0947,947,10000,1,932,1.5,118.375,0.9638,8675,947
23,18,24,0.1031,1031,10000,1,981,1.0,57.27777777777778,0.9652,8611,1031
24,17,25,0.1095,1095,10000,1,1069,1.0,64.41176470588235,0.9672,8562,1095
25,18,26,0.1165,1165,10000,1,1136,1.0,64.72222222222223,0.9687,8503,1165
26,20,27,0.1225,1225,10000,1,1199,1.0,61.25,0.9698,8442,1225
27,20,28,0.1306,1306,10000,1,1235,1.0,65.3,0.9697,8371,1306
28,21,29,0.1364,1364,10000,1,1298,1.0,64.95238095238095,0.9707,8301,1364
29,26,30,0.1446,1446,10000,1,1376,1.0,55.61538461538461,0.9695,8215,1446
30,23,31,0.1551,1551,10000,1,1468,1.0,67.43478260869566,0.9691,8107,1551
31,24,32,0.1634,1634,10000,1,1479,2.0,68.08333333333333,0.9688,8016,1634
32,33,33,0.17,1700,10000,1,1638,1.0,51.515151515151516,0.968,7929,1700
33,40,34,0.1773,1773,10000,1,1578,1.0,44.325,0.9659,7842,1773
34,40,35,0.1837,1837,10000,1,1644,1.0,45.925,0.9645,7746,1837
35,45,36,0.1956,1956,10000,1,1723,1.0,43.46666666666667,0.9613,7617,1956
36,53,37,0.2018,2018,10000,1,1735,1.0,38.075471698113205,0.9603,7531,2018
37,53,38,0.2134,2134,10000,1,1836,1.0,40.264150943396224,0.9579,7406,2134
38,60,39,0.2238,2238,10000,1,1863,1.0,37.3,0.957,7274,2238
39,66,40,0.2355,2355,10000,1,2044,1.0,35.68181818181818,0.9542,7145,2355
40,68,41,0.2427,2427,10000,1,1884,1.0,35.69117647058823,0.953,7030,2427
41,69,42,0.2531,2531,10000,1,2036,1.0,36.68115942028985,0.9487,6880,2531
42,78,43,0.2624,2624,10000,1,2242,1.0,33.64102564102564,0.9441,6738,2624
43,90,44,0.2712,2712,10000,1,2258,1.0,30.133333333333333,0.9392,6589,2712
44,95,45,0.2787,2787,10000,1,2175,1.0,29.33684210526316,0.9331,6447,2787
45,105,46,0.2865,2865,10000,1,2280,1.0,27.285714285714285,0.9264,6322,2865
46,117,47,0.295,2950,10000,1,2428,1.0,25.213675213675213,0.9217,6174,2950
47,136,48,0.3011,3011,10000,1,2313,2.0,22.139705882352942,0.9154,6028,3011
48,150,49,0.3052,3052,10000,1,2346,1.0,20.346666666666668,0.9069,5915,3052
49,152,50,0.3126,3126,10000,1,2394,2.0,20.56578947368421,0.8997,5781,3126
50,166,51,0.3214,3214,10000,1,2394,1.0,19.36144578313253,0.8937,5629,3214
51,188,52,0.3264,3264,10000,1,2412,1.0,17.361702127659573,0.8873,5512,3264
52,197,53,0.3316,3316,10000,1,2443,2.0,16.83248730964467,0.8806,5378,3316
53,204,54,0.3378,3378,10000,1,2540,1.0,16.558823529411764,0.8724,5235,3378
54,222,55,0.3436,3436,10000,1,2378,2.0,15.477477477477477,0.8643,5085,3436
55,275,56,0.3513,3513,10000,1,2357,1.0,12.774545454545455,0.8551,4914,3513
56,293,57,0.3593,3593,10000,1,2391,1.0,12.262798634812286,0.8457,4743,3593
57,309,58,0.3659,3659,10000,1,2428,1.0,11.841423948220065,0.8366,4576,3659
58,338,59,0.3766,3766,10000,1,2503,1.0,11.142011834319527,0.8265,4380,3766
59,353,60,0.3847,3847,10000,1,2545,1.0,10.898016997167138,0.8176,4205,3847
60,371,61,0.3911,3911,10000,1,2565,1.0,10.54177897574124,0.8082,4047,3911
61,379,62,0.3987,3987,10000,1,2621,1.0,10.519788918205805,0.7988,3856,3987
62,404,63,0.4021,4021,10000,1,2693,1.0,9.952970297029703,0.7873,3723,4021
63,411,64,0.4088,4088,10000,1,2684,2.0,9.94647201946472,0.7774,3565,4088
64,433,65,0.4151,4151,10000,1,2730,2.0,9.58660508083141,0.7683,3389,4151
65,461,66,0.4187,4187,10000,1,2800,1.0,9.082429501084599,0.757,3250,4187
66,482,67,0.4248,4248,10000,1,2783,2.0,8.813278008298756,0.7467,3071,4248
67,481,68,0.4285,4285,10000,1,2849,2.0,8.90852390852391,0.7349,2924,4285
68,505,69,0.4308,4308,10000,1,2740,1.0,8.530693069306931,0.7239,2772,4308
69,532,70,0.4302,4302,10000,1,2752,1.0,8.086466165413533,0.711,2671,4302
70,551,71,0.4292,4292,10000,1,2669,2.0,7.7894736842105265,0.7003,2531,4292
71,572,72,0.4292,4292,10000,1,2680,2.0,7.503496503496503,0.6853,2389,4292
72,595,73,0.4255,4255,10000,1,2628,1.0,7.151260504201681,0.6711,2273,4255
73,625,74,0.4242,4242,10000,1,2622,1.0,6.7872,0.6558,2157,4242
74,606,75,0.4237,4237,10000,1,2518,1.0,6.991749174917492,0.6429,2027,4237
75,647,76,0.423,4230,10000,1,2315,1.0,6.5378670788253475,0.6294,1899,4230
76,675,77,0.4228,4228,10000,1,2345,1.0,6.263703703703704,0.6159,1777,4228
77,695,78,0.4188,4188,10000,1,2310,1.0,6.02589928057554,0.6035,1670,4188
78,712,79,0.4155,4155,10000,1,2306,1.0,5.83567415730337,0.5888,1567,4155
79,731,80,0.4148,4148,10000,1,2301,1.0,5.674418604651163,0.5752,1451,4148
80,747,81,0.4086,4086,10000,1,2198,1.0,5.469879518072289,0.5629,1372,4086
81,766,82,0.3997,3997,10000,1,2164,1.0,5.218015665796345,0.5488,1322,3997
82,793,83,0.393,3930,10000,1,2095,1.0,4.955863808322825,0.5349,1261,3930
83,820,84,0.3823,3823,10000,1,1947,1.0,4.662195121951219,0.5221,1236,3823
84,806,85,0.3773,3773,10000,1,1940,1.0,4.681141439205955,0.5089,1187,3773
85,814,86,0.372,3720,10000,1,1819,1.0,4.57002457002457,0.499,1105,3720
86,834,87,0.3639,3639,10000,1,1782,1.0,4.363309352517986,0.4855,1070,3639
87,849,88,0.3531,3531,10000,1,1683,1.0,4.159010600706714,0.4739,1041,3531
88,852,89,0.3419,3419,10000,1,1607,1.0,4.012910798122066,0.4602,1019,3419
89,864,90,0.3282,3282,10000,1,1439,1.0,3.798611111111111,0.4468,1031,3282
90,869,91,0.3131,3131,10000,1,1260,1.0,3.6029919447640966,0.4343,1036,3131
91,872,92,0.3015,3015,10000,1,1069,1.0,3.4575688073394497,0.4197,1037,3015
92,875,93,0.2903,2903,10000,1,951,1.0,3.3177142857142856,0.4082,1056,2903
93,875,94,0.2789,2789,10000,1,782,1.0,3.1874285714285713,0.3989,1059,2789
94,879,95,0.2672,2672,10000,1,768,1.0,3.0398179749715584,0.3878,1068,2672
95,884,96,0.2543,2543,10000,1,682,1.0,2.8766968325791855,0.377,1083,2543
96,879,97,0.242,2420,10000,1,597,1.0,2.7531285551763367,0.3656,1104,2420
97,891,98,0.2334,2334,10000,1,466,1.0,2.6195286195286194,0.3554,1122,2334
98,910,99,0.2203,2203,10000,1,448,1.0,2.4208791208791207,0.3486,1156,2203
99,883,100,0.2092,2092,10000,1,368,1.0,2.3691959229898076,0.3389,1179,2092
100,891,101,0.1991,1991,10000,1,297,1.0,2.234567901234568,0.3301,1215,1991
101,882,102,0.1923,1923,10000,1,189,1.0,2.1802721088435373,0.3236,1225,1923
102,866,103,0.1846,1846,10000,1,76,1.0,2.131639722863741,0.3178,1244,1846
103,852,104,0.1785,1785,10000,1,83,1.0,2.0950704225352115,0.312,1259,1785
104,836,105,0.1706,1706,10000,1,63,1.0,2.04066985645933,0.3074,1300,1706
105,819,106,0.1654,1654,10000,1,57,1.0,2.0195360195360195,0.3036,1323,1654
106,828,107,0.1589,1589,10000,1,49,1.0,1.9190821256038648,0.3007,1352,1589
107,809,108,0.1542,1542,10000,1,50,1.0,1.9060568603213843,0.2971,1358,1542
108,805,109,0.1496,1496,10000,1,48,1.0,1.858385093167702,0.293,1384,1496
109,792,110,0.1439,1439,10000,1,29,1.0,1.8169191919191918,0.291,1401,1439
110,777,111,0.1388,1388,10000,1,21,1.0,1.7863577863577864,0.287,1413,1388
111,770,112,0.1339,1339,10000,1,22,1.0,1.738961038961039,0.2831,1445,1339
112,756,113,0.1286,1286,10000,1,21,1.0,1.7010582010582012,0.2814,1467,1286
113,736,114,0.1239,1239,10000,1,16,1.0,1.6834239130434783,0.2783,1494,1239
114,720,115,0.1203,1203,10000,1,16,1.0,1.6708333333333334,0.2763,1509,1203
115,704,116,0.1174,1174,10000,1,18,1.0,1.6676136363636365,0.2742,1528,1174
116,692,117,0.114,1140,10000,1,16,1.0,1.6473988439306357,0.2732,1541,1140
117,674,118,0.1091,1091,10000,1,15,1.0,1.6186943620178043,0.2711,1571,1091
118,659,119,0.1052,1052,10000,1,15,1.0,1.5963581183611533,0.2692,1597,1052
119,641,120,0.1024,1024,10000,1,15,1.0,1.5975039001560063,0.2679,1618,1024
120,619,121,0.0992,992,10000,1,17,1.0,1.6025848142164782,0.2672,1646,992
121,599,122,0.0969,969,10000,1,14,1.0,1.6176961602671118,0.2668,1662,969
122,579,123,0.0943,943,10000,1,16,1.0,1.6286701208981003,0.2661,1684,943
123,568,124,0.0912,912,10000,1,17,1.0,1.6056338028169015,0.2657,1708,912
124,561,125,0.089,890,10000,1,17,1.0,1.5864527629233511,0.265,1732,890
125,547,126,0.0848,848,10000,1,14,1.0,1.5502742230347348,0.2652,1772,848
126,536,127,0.0816,816,10000,1,13,1.0,1.5223880597014925,0.265,1802,816
127,523,128,0.079,790,10000,1,13,1.0,1.5105162523900573,0.2648,1828,790
128,521,129,0.0776,776,10000,1,10,1.0,1.489443378119002,0.2648,1850,776
129,502,130,0.0747,747,10000,1,10,1.0,1.4880478087649402,0.2656,1875,747
130,499,131,0.0714,714,10000,1,10,1.0,1.4308617234468939,0.2652,1911,714
131,487,132,0.0699,699,10000,1,10,1.0,1.4353182751540041,0.2655,1938,699
132,473,133,0.0671,671,10000,1,10,1.0,1.4186046511627908,0.2667,1968,671
133,456,134,0.0647,647,10000,1,10,1.0,1.418859649122807,0.2669,2005,647
134,442,135,0.062,620,10000,1,10,1.0,1.4027149321266967,0.2682,2037,620
135,435,136,0.061,610,10000,1,10,1.0,1.4022988505747127,0.2687,2068,610
136,420,137,0.0597,597,10000,1,10,1.0,1.4214285714285715,0.2708,2091,597
137,408,138,0.0575,575,10000,1,10,1.0,1.4093137254901962,0.2718,2124,575
138,391,139,0.0561,561,10000,1,10,1.0,1.434782608695652,0.2729,2146,561
139,384,140,0.0545,545,10000,1,10,1.0,1.4192708333333333,0.2737,2171,545
140,368,141,0.0519,519,10000,1,8,1.0,1.4103260869565217,0.2746,2202,519
141,357,142,0.0505,505,10000,1,8,1.0,1.4145658263305323,0.2751,2225,505
142,345,143,0.0498,498,10000,1,7,1.0,1.4434782608695653,0.276,2240,498
143,334,144,0.0485,485,10000,1,7,1.0,1.4520958083832336,0.2768,2269,485
144,329,145,0.0466,466,10000,1,7,1.0,1.4164133738601823,0.2784,2303,466
145,324,146,0.0457,457,10000,1,6,1.0,1.4104938271604939,0.2799,2331,457
146,313,147,0.0442,442,10000,1,6,1.0,1.4121405750798721,0.2818,2358,442
147,308,148,0.0429,429,10000,1,6,1.0,1.3928571428571428,0.283,2391,429
148,301,149,0.0415,415,10000,1,6,1.0,1.3787375415282392,0.285,2424,415
149,291,150,0.0412,412,10000,1,6,1.0,1.4158075601374571,0.2869,2449,412
150,281,151,0.0395,395,10000,1,6,1.0,1.405693950177936,0.2891,2482,395
151,276,152,0.0387,387,10000,1,6,1.0,1.4021739130434783,0.2907,2511,387
152,270,153,0.0381,381,10000,1,6,1.0,1.4111111111111112,0.2928,2537,381
153,264,154,0.0374,374,10000,1,5,1.0,1.4166666666666667,0.2948,2560,374
154,250,155,0.0358,358,10000,1,6,1.0,1.432,0.2964,2590,358
155,241,156,0.034,340,10000,1,6,1.0,1.4107883817427387,0.2978,2625,340
156,235,157,0.033,330,10000,1,5,1.0,1.4042553191489362,0.2995,2649,330
157,229,158,0.0323,323,10000,1,5,1.0,1.4104803493449782,0.3009,2671,323
158,221,159,0.0315,315,10000,1,6,1.0,1.4253393665158371,0.3024,2696,315
159,211,160,0.0301,301,10000,1,6,1.0,1.4265402843601895,0.3041,2721,301
160,208,161,0.0286,286,10000,1,6,1.0,1.375,0.3052,2755,286
161,200,162,0.0277,277,10000,1,6,1.0,1.385,0.3071,2785,277
162,192,163,0.0266,266,10000,1,7,1.0,1.3854166666666667,0.3092,2816,266
163,183,164,0.0247,247,10000,1,6,1.0,1.349726775956284,0.3112,2848,247
164,182,165,0.0235,235,10000,1,6,1.0,1.2912087912087913,0.3125,2880,235
165,176,166,0.022,220,10000,1,6,1.0,1.25,0.3145,2911,220
166,168,167,0.0212,212,10000,1,6,1.0,1.2619047619047619,0.3161,2931,212
167,153,168,0.0194,194,10000,1,6,1.0,1.2679738562091503,0.3173,2964,194
168,144,169,0.0185,185,10000,1,6,1.0,1.2847222222222223,0.3188,2994,185
169,134,170,0.0176,176,10000,1,6,1.0,1.3134328358208955,0.3209,3025,176
170,128,171,0.0162,162,10000,1,6,1.0,1.265625,0.3231,3057,162
