,Density Trees,Fine,On fire,Burned
981,0.2385,1193,1163,29
982,0.2376,1204,1154,18
983,0.2378,1223,1131,24
984,0.2374,1241,1109,24
985,0.237,1258,1083,29
986,0.2361,1281,1052,28
987,0.2353,1296,1024,33
988,0.234,1306,1009,25
989,0.2335,1322,979,34
990,0.2321,1336,949,36
991,0.2305,1341,944,20
992,0.2305,1358,912,35
993,0.229,1371,889,30
994,0.228,1387,865,28
995,0.2272,1396,852,24
996,0.2268,1414,833,21
997,0.2267,1429,806,32
998,0.2255,1443,786,26
999,0.2249,1449,783,17
1000,0.2252,1457,774,21
